name,geoid,state_name,county_name,city_name,median_household_income,median_household_income_moe,average_household_income,average_household_income_moe,per_capita_income,per_capita_income_moe,percent_of_households_with_incomes_200000_or_more,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_under_25_years_moe,householder_25_to_44_years,householder_25_to_44_years_moe,householder_45_to_64_years,householder_45_to_64_years_moe,householder_65_years_and_over,householder_65_years_and_over_moe,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more
98026,86000US98026,Washington,Snohomish,Edmonds; Esperance; Lynnwood; Meadowdale; Mukilteo; North Lynnwood; Picnic Point,"94,385","5,681","122,325","6,842","48,706","2,666",0,0,"78,713","9,230","97,053","6,446","108,101","9,401","66,463","5,514","14,818",947,"2,211","2,193","2,628","3,297","1,453","2,089"
98027,86000US98027,Washington,King,Bellevue; East Renton Highlands; Hobart; Issaquah; Mirrormont; Sammamish,"113,047","8,446","141,468","7,387","55,418","3,259",0,0,-1,-1,"117,648","11,892","128,711","15,771","86,205","10,419","11,945","1,194","1,069","1,454","1,584","2,322","1,813","2,509"
98028,86000US98028,Washington,King,Bothell; Bothell West; Kenmore,"110,058","10,286","135,105","6,997","53,255","2,755",0,0,"60,417","26,448","131,492","8,176","128,538","14,358","64,545","9,914","8,876",733,"1,015","1,302","1,109","1,607","1,416","1,694"
98029,86000US98029,Washington,King,Issaquah; Sammamish,"129,185","5,468","155,934","7,894","60,666","3,269",0,0,"89,038","46,644","155,400","10,488","128,387","12,933","69,726","16,714","11,271",706,985,"1,166","1,446","2,370","1,397","3,201"
98030,86000US98030,Washington,King,Auburn; Kent,"64,666","6,095","81,539","4,740","27,394","1,895",0,0,"46,845","17,091","66,946","8,827","81,690","13,997","49,201","5,585","12,615","2,214","2,613","2,505","1,519","2,242",749,773
98031,86000US98031,Washington,King,Kent,"83,324","3,579","97,465","3,325","32,681","1,208",0,0,"64,510","23,660","81,226","9,008","102,740","7,712","58,602","4,780","12,333","1,302","1,979","2,195","1,864","2,617","1,556",820
98032,86000US98032,Washington,King,Des Moines; Kent; Lakeland North; SeaTac; Tukwila,"63,562","2,831","81,706","4,519","30,141","1,634",0,0,"56,944","14,683","69,126","3,254","70,768","5,085","35,652","7,110","13,956","2,353","3,027","3,002","1,748","2,123",956,747
98033,86000US98033,Washington,King,Bellevue; Kirkland; Redmond; Yarrow Point,"133,744","4,386","183,213","7,689","76,475","3,513",0,0,"54,161","9,128","159,688","16,572","150,964","8,540","67,286","10,513","16,524","1,246","1,435","1,708","1,642","3,265","2,373","4,855"
98034,86000US98034,Washington,King,Bothell; Kenmore; Kirkland; Redmond,"101,674","6,798","128,063","5,051","52,779","2,257",0,0,"87,458","27,148","111,339","8,371","118,797","8,657","56,017","5,145","17,646","1,606","2,234","2,226","2,609","3,797","2,317","2,857"
98036,86000US98036,Washington,Snohomish,Alderwood Manor; Bothell West; Brier; Lynnwood; Martha Lake; Mountlake Terrace; North Lynnwood,"84,787","4,916","104,424","4,733","39,301","1,886",0,0,"39,940","19,591","98,903","9,142","96,024","10,528","56,836","6,914","14,952","2,060","1,966","2,538","1,985","2,978","1,989","1,436"
98037,86000US98037,Washington,Snohomish,Larch Way; Lynnwood; Martha Lake; Meadowdale; North Lynnwood,"76,630","7,255","88,541","3,427","33,484","1,357",0,0,"47,386","20,093","85,141","6,646","94,878","8,418","48,267","5,822","11,162","1,751","1,998","1,727","1,460","2,656","1,005",565
98038,86000US98038,Washington,King,Covington; East Renton Highlands; Hobart; Kent; Lake Morton-Berrydale; Maple Valley; Mirrormont; Ravensdale; Shadow Lake,"111,689","4,514","128,993","5,447","44,131","2,205",0,0,"31,250","17,447","118,498","4,422","127,808","8,253","62,153","6,629","12,127",831,989,"1,414","2,018","3,254","1,886","1,735"
98039,86000US98039,Washington,King,Bellevue; Hunts Point; Kirkland; Medina,"212,337","37,942","323,190","39,644","117,928","14,411",1,0,-1,-1,"250,001",-1,"250,001",-1,"104,688","29,863","1,195",101,83,50,61,166,110,624
98040,86000US98040,Washington,King,Mercer Island,"147,566","15,955","224,619","13,331","90,130","4,758",0,0,-1,-1,"165,925","27,951","214,355","15,270","89,622","13,246","10,199",849,788,"1,043",756,"1,719","1,038","4,006"
98042,86000US98042,Washington,King,Auburn; Covington; Kent; Lake Morton-Berrydale; Maple Valley; Shadow Lake,"104,306","4,292","127,621","5,898","44,519","2,405",0,0,"73,468","34,036","101,708","6,314","126,988","9,889","70,510","5,558","16,686",962,"2,167","2,233","2,520","4,148","2,102","2,554"
98043,86000US98043,Washington,King; Snohomish,Edmonds; Lynnwood; Mountlake Terrace; Shoreline,"72,955","4,438","87,769","4,706","36,175","1,899",0,0,"43,400","15,897","77,757","9,513","82,986","7,691","53,497","5,198","8,557","1,054","1,370","1,969","1,533","1,486",693,452
98045,86000US98045,Washington,King,North Bend; Riverbend; Snoqualmie; Snoqualmie Pass; Tanner; Wilderness Rim,"112,568","8,457","141,702","10,561","53,181","4,696",0,0,"50,996",841,"138,750","27,013","119,977","17,550","68,214","14,863","5,666",584,501,629,680,"1,174","1,056","1,042"
98047,86000US98047,Washington,King; Pierce,Algona; Auburn; Pacific,"59,464","6,824","70,743","5,650","23,626","2,115",0,0,"64,063","31,768","59,813","7,496","71,230","8,413","38,519","11,876","2,316",106,803,633,256,401,60,57
98050,86000US98050,Washington,King,,"139,161","39,372","212,132","138,846","77,393","40,400",0,0,-1,-1,-1,-1,"139,557","70,964",-1,-1,155,0,0,0,0,104,30,21
98051,86000US98051,Washington,King,Hobart; Kent; Ravensdale,"87,500","13,481","101,777","10,961","37,643","3,412",0,0,-1,-1,"91,553","12,590","94,038","37,481","57,250","17,408","1,622",280,174,288,226,355,149,150
