zipcode,city_name,monthly_mean_income
98290,Bunk Foss; Chain Lake; Everett; Fobes Hill; Lake Bosworth; Lake Roesiger; Machias; Monroe; Monroe North; Snohomish; Three Lakes; Woods Creek,9871
98122,Seattle,9854
98056,Newcastle; Renton,9830
99360,Touchet,9826
98940,Ronald,9746
98422,Browns Point; Dash Point; Fife Heights; Milton; Tacoma,9735
98101,Seattle,9690
98011,Bothell; Kenmore; Kirkland; Woodinville,9672
98070,Vashon,9640
99019,Liberty Lake,9627
98314,Bremerton; Navy Yard City; Port Orchard,9555
98155,Kenmore; Lake Forest Park; Shoreline,9541
99179,Uniontown,9515
98629,La Center,9496
98671,Camas; Fern Prairie; Washougal,9429
98166,Burien; Normandy Park,9293
98092,Auburn; Black Diamond; Kent; Lake Holm; Lake Morton-Berrydale; Lake Tapps,9283
99353,Richland; West Richland,9279
98126,Seattle; White Center,9278
98272,Chain Lake; Everett; High Bridge; Monroe; Monroe North; Sultan; Woods Creek,9154
98407,Ruston; Tacoma,9151
99203,Spokane,9150
98443,Waller,9069
99005,Green Bluff,9044
98258,Cavalero; Lake Cassidy; Lake Stevens; Lochsloy; Machias; Sisco Heights,9039
98280,,9007
98058,East Renton Highlands; Fairwood; Kent; Maple Heights-Lake Desire; Renton; Shadow Lake,8950
98118,Seattle,8873
99322,Bickleton,8853
98282,Camano,8810
98134,Seattle,8803
99352,Kennewick; Richland; West Richland,8796
98205,Bunk Foss; Cavalero; Everett; Lake Stevens; Machias; Marysville,8788
98321,Bonney Lake; Buckley; Enumclaw; Prairie Heights; Prairie Ridge; South Prairie; Wilkeson,8777
98068,Roslyn; Snoqualmie Pass; Tanner,8728
99131,,8716
98675,Amboy; Yacolt,8702
98036,Alderwood Manor; Bothell West; Brier; Lynnwood; Martha Lake; Mountlake Terrace; North Lynnwood,8702
98208,Eastmont; Everett; Martha Lake; Mill Creek; Silver Firs,8691
98370,Indianola; Keyport; Lofall; Poulsbo; Silverdale; Suquamish,8625
