name,geoid,state_name,county_name,city_name,median_household_income,median_household_income_moe,average_household_income,average_household_income_moe,per_capita_income,per_capita_income_moe,percent_of_households_with_incomes_200000_or_more,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_under_25_years_moe,householder_25_to_44_years,householder_25_to_44_years_moe,householder_45_to_64_years,householder_45_to_64_years_moe,householder_65_years_and_over,householder_65_years_and_over_moe,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more
98030,86000US98030,Washington,King,Auburn; Kent,64666,6095,81539,4740,27394,1895,0.061,0.014,46845,17091,66946,8827,81690,13997,49201,5585,12615,2214,2613,2505,1519,2242,749,773
98031,86000US98031,Washington,King,Kent,83324,3579,97465,3325,32681,1208,0.066,0.014,64510,23660,81226,9008,102740,7712,58602,4780,12333,1302,1979,2195,1864,2617,1556,820
98032,86000US98032,Washington,King,Des Moines; Kent; Lakeland North; SeaTac; Tukwila,63562,2831,81706,4519,30141,1634,0.054,0.014,56944,14683,69126,3254,70768,5085,35652,7110,13956,2353,3027,3002,1748,2123,956,747
98033,86000US98033,Washington,King,Bellevue; Kirkland; Redmond; Yarrow Point,133744,4386,183213,7689,76475,3513,0.294,0.021,54161,9128,159688,16572,150964,8540,67286,10513,16524,1246,1435,1708,1642,3265,2373,4855
98034,86000US98034,Washington,King,Bothell; Kenmore; Kirkland; Redmond,101674,6798,128063,5051,52779,2257,0.162,0.017,87458,27148,111339,8371,118797,8657,56017,5145,17646,1606,2234,2226,2609,3797,2317,2857
98036,86000US98036,Washington,Snohomish,Alderwood Manor; Bothell West; Brier; Lynnwood; Martha Lake; Mountlake Terrace; North Lynnwood,84787,4916,104424,4733,39301,1886,0.096,0.017,39940,19591,98903,9142,96024,10528,56836,6914,14952,2060,1966,2538,1985,2978,1989,1436
98037,86000US98037,Washington,Snohomish,Larch Way; Lynnwood; Martha Lake; Meadowdale; North Lynnwood,76630,7255,88541,3427,33484,1357,0.051,0.012,47386,20093,85141,6646,94878,8418,48267,5822,11162,1751,1998,1727,1460,2656,1005,565
98038,86000US98038,Washington,King,Covington; East Renton Highlands; Hobart; Kent; Lake Morton-Berrydale; Maple Valley; Mirrormont; Ravensdale; Shadow Lake,111689,4514,128993,5447,44131,2205,0.143,0.021,31250,17447,118498,4422,127808,8253,62153,6629,12127,831,989,1414,2018,3254,1886,1735
98039,86000US98039,Washington,King,Bellevue; Hunts Point; Kirkland; Medina,212337,37942,323190,39644,117928,14411,0.522,0.061,-1,-1,250001,-1,250001,-1,104688,29863,1195,101,83,50,61,166,110,624
98040,86000US98040,Washington,King,Mercer Island,147566,15955,224619,13331,90130,4758,0.393,0.026,-1,-1,165925,27951,214355,15270,89622,13246,10199,849,788,1043,756,1719,1038,4006
