zipcode,state_name,county_name,city_name,median_household_income,average_household_income,per_capita_income,percent_incomes_200000+
98237,Washington,Skagit; Whatcom,Concrete,"$51,823","$64,351","$27,151",1.90%
98238,Washington,Skagit,Conway,-$1,-$1,-$1,-1.00%
98239,Washington,Island,Coupeville,"$66,592","$85,015","$41,103",5.10%
98240,Washington,Whatcom,Custer,"$72,647","$89,118","$33,366",5.80%
98241,Washington,Chelan; Skagit; Snohomish,Darrington; Swede Heaven,"$44,694","$56,772","$25,200",1.10%
98243,Washington,San Juan,,"$72,279","$79,295","$37,826",4.00%
98244,Washington,Whatcom,Deming; Glacier; Kendall; Maple Falls; Peaceful Valley,"$64,763","$81,551","$34,296",3.20%
98245,Washington,San Juan,,"$54,219","$86,373","$42,187",7.90%
98247,Washington,Whatcom,Deming; Everson; Lynden; Nooksack,"$60,273","$74,875","$24,945",3.10%
98248,Washington,Whatcom,Birch Bay; Custer; Ferndale; Marietta-Alderwood,"$76,684","$84,879","$31,040",3.50%
98249,Washington,Island,Freeland,"$73,615","$101,219","$48,356",10.30%
98250,Washington,San Juan,Friday Harbor,"$70,613","$102,681","$47,867",10.10%
98251,Washington,Snohomish,Gold Bar; May Creek; Startup,"$73,274","$83,922","$38,115",4.50%
98252,Washington,Snohomish,Canyon Creek; Granite Falls; Lake Bosworth; Lochsloy; Snohomish; Verlot,"$82,121","$91,400","$35,825",9.10%
98253,Washington,Island,,"$78,661","$77,920","$38,879",4.00%
98255,Washington,Skagit,Hamilton,"$32,361","$41,885","$19,408",0.00%
98256,Washington,Snohomish,Index,"$62,813","$65,292","$30,178",0.60%
98257,Washington,Skagit,La Conner,"$64,295","$85,596","$39,969",6.50%
98258,Washington,Snohomish,Cavalero; Lake Cassidy; Lake Stevens; Lochsloy; Machias; Sisco Heights,"$96,325","$108,470","$38,161",8.00%
98260,Washington,Island,Langley,"$72,697","$91,146","$43,453",7.30%
98261,Washington,San Juan,,"$60,284","$82,958","$41,202",5.50%
98262,Washington,Whatcom,,"$63,819","$90,805","$47,905",9.70%
98263,Washington,Skagit,Lyman,"$94,167","$86,909","$33,867",0.00%
98264,Washington,Whatcom,Lynden,"$68,174","$84,526","$30,863",4.70%
98266,Washington,Whatcom,Kendall; Maple Falls; Peaceful Valley,"$30,083","$43,221","$16,025",0.00%
98267,Washington,Skagit,Marblemount,-$1,"$39,576","$17,391",0.00%
98270,Washington,Snohomish,Lake Cassidy; Marysville,"$83,014","$91,801","$32,462",5.80%
98271,Washington,Snohomish,Lake Goodwin; Marysville; North Marysville; Sisco Heights,"$79,494","$93,276","$35,906",5.80%
98272,Washington,Snohomish,Chain Lake; Everett; High Bridge; Monroe; Monroe North; Sultan; Woods Creek,"$91,458","$109,846","$35,197",11.10%
98273,Washington,Skagit,Bay View; Burlington; Clear Lake; Conway; Mount Vernon,"$62,094","$73,991","$27,280",3.70%
98274,Washington,Skagit,Big Lake; Lake Cavanaugh; Lake McMurray; Mount Vernon,"$79,872","$95,742","$36,786",6.50%
98275,Washington,Snohomish,Everett; Mukilteo; Picnic Point,"$108,536","$135,920","$52,707",20.30%
98276,Washington,Whatcom,Nooksack,"$63,462","$75,958","$21,623",4.10%
98277,Washington,Island,Oak Harbor; Whidbey Island Station,"$60,658","$74,365","$30,577",3.30%
98278,Washington,Island,Whidbey Island Station,-$1,-$1,"$25,173",-1.00%
98279,Washington,San Juan,,"$58,125","$85,958","$47,349",9.40%
98280,Washington,San Juan,,"$53,667","$108,083","$63,271",7.40%
98281,Washington,Whatcom,Point Roberts,"$43,510","$79,904","$46,137",8.70%
98282,Washington,Island; Snohomish,Camano,"$80,965","$105,721","$44,811",9.90%
98283,Washington,Skagit; Whatcom,Marblemount; Rockport,"$75,149","$59,626","$28,923",0.00%
98284,Washington,Skagit; Whatcom,Alger; Clear Lake; Hamilton; Lyman; Sedro-Woolley,"$66,548","$79,793","$29,148",3.10%
98286,Washington,San Juan,,"$68,750","$153,271","$78,580",18.30%
98288,Washington,King,Skykomish,"$46,500","$80,434","$40,810",3.60%
98290,Washington,Snohomish,Bunk Foss; Chain Lake; Everett; Fobes Hill; Lake Bosworth; Lake Roesiger; Machias; Monroe; Monroe North; Snohomish; Three Lakes; Woods Creek,"$99,171","$118,448","$43,621",14.90%
98292,Washington,Skagit; Snohomish,Kayak Point; Lake Goodwin; Lake Ketchum; Marysville; Northwest Stanwood; Silvana; Stanwood; Sunday Lake; Warm Beach,"$84,844","$102,925","$39,535",9.30%
98294,Washington,Snohomish,Everett; Gold Bar; North Sultan; Startup; Sultan,"$75,663","$87,311","$34,056",5.30%
98295,Washington,Whatcom,Peaceful Valley; Sumas,"$55,750","$60,923","$23,651",1.40%
98296,Washington,Snohomish,Cathcart; Clearview; Eastmont; High Bridge; Maltby; Mill Creek East; Silver Firs,"$137,500","$148,414","$49,794",21.80%
98297,Washington,San Juan,,-$1,"$37,884","$18,673",0.00%
98303,Washington,Pierce,Anderson Island,"$80,078","$96,937","$52,025",12.60%
98304,Washington,Lewis; Pierce; Yakima,Ashford,"$47,384","$52,648","$23,807",0.00%
98305,Washington,Clallam,,"$36,875","$54,834","$24,283",0.00%
98310,Washington,Kitsap,Bremerton; Enetai; Tracyton,"$56,292","$72,527","$32,289",3.50%
98311,Washington,Kitsap,Silverdale; Tracyton,"$73,708","$84,503","$32,330",3.90%
98312,Washington,Kitsap,Bremerton; Chico; Erlands Point-Kitsap Lake; Gorst; Navy Yard City; Port Orchard; Rocky Point; Silverdale,"$64,400","$77,685","$32,590",4.30%
98314,Washington,Kitsap,Bremerton; Navy Yard City; Port Orchard,-$1,"$114,663","$24,027",25.00%
98315,Washington,Kitsap,Bangor Base,"$57,134","$59,975","$21,455",0.00%
98320,Washington,Jefferson,Brinnon,"$50,694","$62,509","$30,972",2.70%
98321,Washington,King; Pierce,Bonney Lake; Buckley; Enumclaw; Prairie Heights; Prairie Ridge; South Prairie; Wilkeson,"$96,183","$105,320","$38,273",8.30%
98323,Washington,King; Pierce,Carbonado; Wilkeson,"$80,179","$84,175","$30,023",0.80%
98325,Washington,Jefferson,Port Hadlock-Irondale,"$48,542","$52,844","$24,755",0.00%
98326,Washington,Clallam,Clallam Bay,"$39,688","$51,096","$24,266",2.00%
98327,Washington,Pierce; Thurston,DuPont; North Fort Lewis,"$90,298","$102,213","$41,992",6.00%
98328,Washington,Pierce; Thurston,Alder; Clear Lake; Eatonville; La Grande,"$77,196","$98,634","$36,212",7.60%
98329,Washington,Kitsap; Mason; Pierce,Burley; Key Center; Stansberry Lake; Vaughn; Wauna,"$84,565","$102,274","$35,235",8.60%
98330,Washington,Lewis; Pierce,Elbe,-$1,-$1,-$1,0.00%
98331,Washington,Clallam; Jefferson,Forks; Queets,"$41,619","$57,829","$22,441",3.10%
98332,Washington,Pierce,Canterwood; Gig Harbor; Maplewood; Purdy; Rosedale,"$102,635","$140,395","$53,449",20.00%
98333,Washington,Pierce,Fox Island,"$105,750","$139,425","$53,468",22.00%
98335,Washington,Pierce,Artondale; Gig Harbor; Raft Island; Rosedale; Wollochet,"$98,584","$126,447","$50,787",15.70%
98336,Washington,Lewis,,"$55,625","$53,740","$25,301",0.00%
98337,Washington,Kitsap,Bremerton; Port Orchard,"$51,250","$62,383","$31,673",1.90%
98338,Washington,Pierce,Clear Lake; Elk Plain; Graham; Kapowsin; South Creek; South Hill,"$81,504","$95,829","$33,951",6.00%
98339,Washington,Jefferson,Port Hadlock-Irondale,"$60,034","$64,490","$30,627",1.90%
98340,Washington,Kitsap,Hansville,"$70,238","$84,033","$42,173",5.20%
98342,Washington,Kitsap,Indianola,"$69,792","$93,545","$42,197",6.80%
98345,Washington,Kitsap,Keyport,"$48,319","$77,007","$43,353",3.30%
98346,Washington,Kitsap,Hansville; Indianola; Kingston; Port Gamble Tribal Community,"$84,148","$101,097","$39,940",9.60%
98349,Washington,Pierce,Herron Island; Home; Key Center; Longbranch,"$62,385","$76,403","$28,634",2.50%
98350,Washington,Clallam,,"$35,938","$58,280","$18,784",4.20%
98351,Washington,Pierce; Thurston,Longbranch,"$46,556","$74,599","$31,246",2.70%
98353,Washington,Kitsap,,-$1,-$1,-$1,0.00%
98354,Washington,King; Pierce,Edgewood; Fife; Milton,"$73,867","$86,041","$36,400",6.30%
98355,Washington,Lewis; Pierce,Mineral,"$20,532","$40,398","$18,307",0.00%
98356,Washington,Lewis,Morton,"$43,173","$50,886","$20,507",0.40%
98357,Washington,Clallam,Neah Bay,"$44,464","$56,484","$18,043",2.10%
98358,Washington,Jefferson,Marrowstone,"$51,429","$70,183","$35,616",6.40%
98359,Washington,Kitsap,Burley,"$77,904","$90,336","$34,314",9.90%
98360,Washington,Pierce,Clear Lake; Crocker; Graham; Kapowsin; McMillin; Orting; Prairie Ridge; South Hill,"$86,341","$96,034","$33,714",6.10%
98361,Washington,Lewis; Skamania,Packwood,"$39,429","$53,818","$30,348",3.20%
98362,Washington,Clallam,Port Angeles; Port Angeles East,"$50,333","$68,346","$30,280",3.10%
98363,Washington,Clallam,Port Angeles,"$57,118","$68,620","$28,393",2.60%
98364,Washington,Kitsap,,-$1,-$1,"$49,128",0.00%
98365,Washington,Jefferson,Port Ludlow,"$62,500","$85,226","$43,624",4.60%
98366,Washington,Kitsap,Bainbridge Island; Bremerton; East Port Orchard; Manchester; Parkwood; Port Orchard; Southworth,"$68,653","$81,766","$32,330",4.40%
98367,Washington,Kitsap,Bethel; Bremerton; Burley; Gorst; Port Orchard; Southworth,"$83,571","$97,235","$36,448",6.70%
98368,Washington,Jefferson,Port Hadlock-Irondale; Port Townsend,"$54,436","$75,733","$36,881",6.10%
98370,Washington,Kitsap,Indianola; Keyport; Lofall; Poulsbo; Silverdale; Suquamish,"$84,409","$103,498","$41,368",10.40%
98371,Washington,Pierce,Edgewood; Milton; Puyallup; Summit; Waller,"$76,729","$93,933","$37,635",6.50%
98372,Washington,Pierce,Alderton; Edgewood; North Puyallup; Puyallup; Sumner,"$75,005","$94,162","$38,021",7.00%
98373,Washington,Pierce,Clover Creek; Puyallup; South Hill; Summit; Summit View,"$73,133","$91,726","$33,925",5.50%
98374,Washington,Pierce,Alderton; Graham; McMillin; Puyallup; South Hill,"$83,644","$101,264","$36,280",8.90%
98375,Washington,Pierce,Frederickson; South Hill; Summit View,"$85,417","$92,848","$29,631",4.90%
98376,Washington,Clallam; Jefferson,Quilcene,"$64,048","$77,566","$35,053",5.20%
98377,Washington,Lewis,,"$42,520","$50,743","$26,448",0.00%
98380,Washington,Kitsap,Seabeck,"$86,333","$96,351","$40,984",8.40%
98381,Washington,Clallam,Sekiu,"$80,870","$78,538","$35,323",0.00%
98382,Washington,Clallam; Jefferson,Bell Hill; Blyn; Carlsborg; Jamestown; River Road; Sequim,"$53,350","$72,135","$34,588",3.10%
98383,Washington,Kitsap,Chico; Silverdale,"$82,982","$101,866","$41,209",7.60%
98385,Washington,Pierce,South Prairie,"$85,781","$81,513","$36,240",2.30%
98387,Washington,Pierce,Elk Plain; Frederickson; Graham; Parkland; South Creek; Spanaway,"$75,308","$85,999","$29,391",4.50%
98388,Washington,Pierce,Ketron Island; Lakewood; Steilacoom; University Place,"$82,330","$103,006","$39,515",8.50%
98390,Washington,Pierce,Alderton; Auburn; North Puyallup; Pacific; Sumner,"$66,151","$83,517","$34,827",5.70%
98391,Washington,King; Pierce,Alderton; Auburn; Bonney Lake; Lake Tapps; Orting; Prairie Heights; Prairie Ridge; Sumner,"$103,505","$124,941","$43,177",11.60%
98392,Washington,Kitsap,Suquamish,"$68,850","$80,162","$34,827",4.80%
98394,Washington,Pierce,Key Center; Vaughn,"$71,146","$121,744","$48,072",12.90%
98396,Washington,Pierce,Carbonado; Wilkeson,"$80,938","$94,711","$35,854",9.90%
98402,Washington,Pierce,Tacoma,"$54,579","$69,417","$41,963",3.90%
98403,Washington,Pierce,Tacoma,"$63,507","$84,691","$44,290",7.00%
98404,Washington,Pierce,Midland; Tacoma; Waller,"$54,406","$67,607","$23,130",2.70%
98405,Washington,Pierce,Tacoma,"$54,043","$68,287","$29,516",3.20%
98406,Washington,Pierce,Tacoma,"$82,111","$100,800","$43,220",7.50%
98407,Washington,Pierce,Ruston; Tacoma,"$80,196","$109,813","$48,393",10.80%
98408,Washington,Pierce,Tacoma,"$59,207","$71,328","$27,443",3.50%
98409,Washington,Pierce,Tacoma,"$53,328","$66,513","$27,623",1.50%
98416,Washington,Pierce,Tacoma,-$1,-$1,"$24,793",-1.00%
98418,Washington,Pierce,Tacoma,"$61,250","$70,948","$30,328",1.90%
98421,Washington,Pierce,Fife; Tacoma,-$1,-$1,"$22,471",-1.00%
98422,Washington,Pierce,Browns Point; Dash Point; Fife Heights; Milton; Tacoma,"$98,360","$116,819","$43,284",12.20%
98424,Washington,Pierce,Fife; Fife Heights; Milton; Tacoma,"$69,848","$84,962","$32,208",5.00%
98430,Washington,Pierce,North Fort Lewis,-$1,-$1,-$1,-1.00%
98433,Washington,Pierce,DuPont; Fort Lewis; Lakewood; North Fort Lewis,"$44,943","$55,007","$18,620",0.80%
98438,Washington,Pierce,McChord AFB,-$1,-$1,"$24,905",0.00%
98439,Washington,Pierce,Fort Lewis; Lakewood; McChord AFB,"$39,219","$49,396","$18,729",0.60%
98443,Washington,Pierce,Waller,"$95,868","$108,825","$43,244",9.40%
98444,Washington,Pierce,Lakewood; Midland; Parkland; Spanaway; Tacoma,"$48,998","$57,287","$22,938",0.70%
98445,Washington,Pierce,Clover Creek; Frederickson; Midland; Parkland; Spanaway; Summit; Tacoma,"$65,851","$80,135","$29,112",2.90%
98446,Washington,Pierce,Clover Creek; Frederickson; Summit,"$81,096","$89,882","$32,311",4.50%
98447,Washington,Pierce,Parkland,-$1,-$1,"$7,982",-1.00%
98465,Washington,Pierce,Tacoma,"$55,588","$79,124","$36,290",4.70%
98466,Washington,Pierce,Fircrest; Tacoma; University Place,"$66,966","$88,003","$36,671",6.60%
98467,Washington,Pierce,Fircrest; Steilacoom; Tacoma; University Place,"$69,337","$92,271","$36,740",8.90%
98498,Washington,Pierce,Lakewood; McChord AFB; Steilacoom,"$67,201","$85,888","$34,745",5.10%
98499,Washington,Pierce,Lakewood; McChord AFB; Parkland; Tacoma; University Place,"$42,665","$59,726","$25,684",2.40%
98501,Washington,Thurston,Lacey; Olympia; Tumwater,"$74,558","$91,805","$37,788",7.70%
98502,Washington,Thurston,Olympia; Tumwater,"$69,326","$92,565","$38,565",8.80%
98503,Washington,Thurston,Lacey; Olympia; Tanglewilde,"$65,536","$75,995","$30,680",2.80%
98506,Washington,Thurston,Olympia,"$70,180","$87,849","$40,476",5.80%
98512,Washington,Thurston,Olympia; Tumwater,"$76,294","$92,179","$38,164",6.40%
98513,Washington,Pierce; Thurston,Lacey; Nisqually Indian Community,"$76,620","$91,342","$34,556",5.40%
98516,Washington,Pierce; Thurston,Lacey; Olympia; Tanglewilde,"$80,258","$100,261","$39,704",8.70%
98520,Washington,Grays Harbor,Aberdeen; Aberdeen Gardens; Central Park; Cosmopolis; Junction City; Markham; Westport,"$50,849","$64,976","$23,294",2.80%
98524,Washington,Mason; Pierce,Allyn; Grapeview; Vaughn,"$83,659","$90,201","$31,634",7.20%
98526,Washington,Grays Harbor,Amanda Park,"$48,750","$56,875","$22,054",0.00%
98527,Washington,Pacific,Bay Center,"$29,911","$41,265","$22,083",0.00%
98528,Washington,Kitsap; Mason; Pierce,Allyn; Belfair,"$57,235","$76,890","$29,169",4.80%
98530,Washington,Thurston,Bucoda,"$51,250","$53,478","$18,847",0.00%
98531,Washington,Lewis; Thurston,Centralia; Fords Prairie; Grand Mound,"$47,874","$62,722","$25,106",2.60%
98532,Washington,Lewis; Pacific,Centralia; Chehalis; Napavine; Pe Ell,"$62,547","$76,079","$29,437",3.40%
98533,Washington,Lewis; Thurston,,"$54,714","$61,292","$32,973",0.00%
98535,Washington,Grays Harbor,Copalis Beach; Ocean City,-$1,"$50,485","$23,492",0.00%
98536,Washington,Grays Harbor,Copalis Beach,"$34,125","$29,393","$21,453",0.00%
98537,Washington,Grays Harbor; Lewis; Pacific,Aberdeen; Cosmopolis; Junction City,"$56,250","$67,320","$27,092",3.00%
98538,Washington,Cowlitz; Lewis,,"$51,389","$69,593","$26,618",3.50%
