zipcode,city,county_name,family_members,annual_income
99037,Spokane Valley,Spokane,7,76800
99037,Spokane Valley,Spokane,8,81750
99039,Waverly,Spokane,1,43350
99039,Waverly,Spokane,2,49550
99039,Waverly,Spokane,3,55750
99039,Waverly,Spokane,4,61900
99039,Waverly,Spokane,5,66900
99039,Waverly,Spokane,6,71580
99039,Waverly,Spokane,7,76800
99039,Waverly,Spokane,8,81750
99201,Spokane,Spokane,1,43350
99201,Spokane,Spokane,2,49550
99201,Spokane,Spokane,3,55750
99201,Spokane,Spokane,4,61900
99201,Spokane,Spokane,5,66900
99201,Spokane,Spokane,6,71580
99201,Spokane,Spokane,7,76800
99201,Spokane,Spokane,8,81750
99202,Spokane,Spokane,1,43350
99202,Spokane,Spokane,2,49550
99202,Spokane,Spokane,3,55750
99202,Spokane,Spokane,4,61900
99202,Spokane,Spokane,5,66900
99202,Spokane,Spokane,6,71580
99202,Spokane,Spokane,7,76800
99202,Spokane,Spokane,8,81750
99203,Spokane,Spokane,1,43350
99203,Spokane,Spokane,2,49550
99203,Spokane,Spokane,3,55750
99203,Spokane,Spokane,4,61900
99203,Spokane,Spokane,5,66900
99203,Spokane,Spokane,6,71580
99203,Spokane,Spokane,7,76800
99203,Spokane,Spokane,8,81750
99204,Spokane,Spokane,1,43350
99204,Spokane,Spokane,2,49550
99204,Spokane,Spokane,3,55750
99204,Spokane,Spokane,4,61900
99204,Spokane,Spokane,5,66900
99204,Spokane,Spokane,6,71580
99204,Spokane,Spokane,7,76800
99204,Spokane,Spokane,8,81750
99205,Spokane,Spokane,1,43350
99205,Spokane,Spokane,2,49550
99205,Spokane,Spokane,3,55750
99205,Spokane,Spokane,4,61900
99205,Spokane,Spokane,5,66900
99205,Spokane,Spokane,6,71580
99205,Spokane,Spokane,7,76800
99205,Spokane,Spokane,8,81750
99206,Spokane,Spokane,1,43350
99206,Spokane,Spokane,2,49550
99206,Spokane,Spokane,3,55750
99206,Spokane,Spokane,4,61900
99206,Spokane,Spokane,5,66900
99206,Spokane,Spokane,6,71580
99206,Spokane,Spokane,7,76800
99206,Spokane,Spokane,8,81750
99207,Spokane,Spokane,1,43350
99207,Spokane,Spokane,2,49550
99207,Spokane,Spokane,3,55750
99207,Spokane,Spokane,4,61900
99207,Spokane,Spokane,5,66900
99207,Spokane,Spokane,6,71580
99207,Spokane,Spokane,7,76800
99207,Spokane,Spokane,8,81750
99208,Spokane,Spokane,1,43350
99208,Spokane,Spokane,2,49550
99208,Spokane,Spokane,3,55750
99208,Spokane,Spokane,4,61900
99208,Spokane,Spokane,5,66900
